Maa;Kuukausi;Kuukauden käyttäjäasennukset;Kuukauden käyttäjäasennusten päiväkohtainen keskiarvo;Maan käyttäjäasennukset yhteensä;Maan kaikkien käyttäjäasennusten päiväkohtainen keskiarvo;Kuukauden käyttäjäasennusten päiväkohtaisen keskiarvon ja maan kaikkien käyttäjäasennusten päiväkohtaisen keskiarvon suhde;Lomapäivien osuus;Lomapäivien prosenttiosuus yli 50 %;;;;;;
Brasilia;Tammikuu;21;0,226;2036;1,627;0,139;1,000;Kyllä;;;;;;
Brasilia;Helmikuu;107;1,259;2036;1,627;0,773;0,078;Ei;;;;;;
Brasilia;Maaliskuu;193;2,075;2036;1,627;1,275;0,019;Ei;;;;;;
Brasilia;Huhtikuu;233;2,589;2036;1,627;1,591;0,067;Ei;;;;;;
Brasilia;Toukokuu;420;4,516;2036;1,627;2,775;0,035;Ei;;;;;;
Brasilia;Kesäkuu;188;2,043;2036;1,627;1,256;0,327;Ei;;;;;;
Brasilia;Heinäkuu;149;1,202;2036;1,627;0,738;0,803;Kyllä;;;;;;
Brasilia;Elokuu;303;2,444;2036;1,627;1,501;0,000;Ei;;;;;;
Brasilia;Syyskuu;155;1,292;2036;1,627;0,794;0,033;Ei;;;;;;
Brasilia;Lokakuu;101;0,815;2036;1,627;0,500;0,032;Ei;;;;;;
Brasilia;Marraskuu;117;0,975;2036;1,627;0,599;0,067;Ei;;;;;;
Brasilia;Joulukuu;49;0,527;2036;1,627;0,324;0,429;Ei;;;;;;
Venäjä;Tammikuu;99;1,065;1495;1,195;0,891;0,216;Ei;;;;;;
Venäjä;Helmikuu;137;1,612;1495;1,195;1,349;0,042;Ei;;;;;;
Venäjä;Maaliskuu;176;1,892;1495;1,195;1,584;0,052;Ei;;;;;;
Venäjä;Huhtikuu;155;1,722;1495;1,195;1,441;0,007;Ei;;;;;;
Venäjä;Toukokuu;120;1,290;1495;1,195;1,080;0,126;Ei;;;;;;
Venäjä;Kesäkuu;76;0,826;1495;1,195;0,691;0,987;Kyllä;;;;;;
Venäjä;Heinäkuu;45;0,363;1495;1,195;0,304;1,000;Kyllä;;;;;;
Venäjä;Elokuu;66;0,532;1495;1,195;0,445;1,000;Kyllä;;;;;;
Venäjä;Syyskuu;84;0,700;1495;1,195;0,586;0,087;Ei;;;;;;
Venäjä;Lokakuu;186;1,500;1495;1,195;1,255;0,000;Ei;;;;;;
Venäjä;Marraskuu;234;1,950;1495;1,195;1,632;0,280;Ei;;;;;;
Venäjä;Joulukuu;117;1,258;1495;1,195;1,053;0,006;Ei;;;;;;
Vietnam;Tammikuu;54;0,581;1160;0,927;0,626;0,097;Ei;;;;;;
Vietnam;Helmikuu;73;0,859;1160;0,927;0,926;0,201;Ei;;;;;;
Vietnam;Maaliskuu;119;1,280;1160;0,927;1,380;0,003;Ei;;;;;;
Vietnam;Huhtikuu;133;1,478;1160;0,927;1,594;0,083;Ei;;;;;;
Vietnam;Toukokuu;95;1,022;1160;0,927;1,102;0,329;Ei;;;;;;
Vietnam;Kesäkuu;122;1,326;1160;0,927;1,430;1,000;Kyllä;;;;;;
Vietnam;Heinäkuu;96;0,774;1160;0,927;0,835;0,894;Kyllä;;;;;;
Vietnam;Elokuu;98;0,790;1160;0,927;0,852;0,000;Ei;;;;;;
Vietnam;Syyskuu;71;0,592;1160;0,927;0,638;0,047;Ei;;;;;;
Vietnam;Lokakuu;113;0,911;1160;0,927;0,983;0,000;Ei;;;;;;
Vietnam;Marraskuu;107;0,892;1160;0,927;0,962;0,000;Ei;;;;;;
Vietnam;Joulukuu;79;0,849;1160;0,927;0,916;0,003;Ei;;;;;;
Meksiko;Tammikuu;42;0,452;1159;0,926;0,487;0,032;Ei;;;;;;
Meksiko;Helmikuu;91;1,071;1159;0,926;1,156;0,067;Ei;;;;;;
Meksiko;Maaliskuu;158;1,699;1159;0,926;1,834;0,077;Ei;;;;;;
Meksiko;Huhtikuu;85;0,944;1159;0,926;1,019;0,047;Ei;;;;;;
Meksiko;Toukokuu;99;1,065;1159;0,926;1,149;0,032;Ei;;;;;;
Meksiko;Kesäkuu;115;1,250;1159;0,926;1,349;0,000;Ei;;;;;;
Meksiko;Heinäkuu;28;0,226;1159;0,926;0,244;0,832;Kyllä;;;;;;
Meksiko;Elokuu;118;0,952;1159;0,926;1,027;0,797;Kyllä;;;;;;
Meksiko;Syyskuu;90;0,750;1159;0,926;0,810;0,033;Ei;;;;;;
Meksiko;Lokakuu;113;0,911;1159;0,926;0,984;0,000;Ei;;;;;;
Meksiko;Marraskuu;111;0,925;1159;0,926;0,998;0,063;Ei;;;;;;
Meksiko;Joulukuu;109;1,172;1159;0,926;1,265;0,058;Ei;;;;;;
Intia;Tammikuu;37;0,398;965;0,771;0,516;0,410;Ei;;;;;;
Intia;Helmikuu;23;0,271;965;0,771;0,351;0,032;Ei;;;;;;
Intia;Maaliskuu;50;0,538;965;0,771;0,697;0,068;Ei;;;;;;
Intia;Huhtikuu;120;1,333;965;0,771;1,728;0,083;Ei;;;;;;
Intia;Toukokuu;95;1,022;965;0,771;1,324;0,048;Ei;;;;;;
Intia;Kesäkuu;91;0,989;965;0,771;1,282;0,990;Kyllä;;;;;;
Intia;Heinäkuu;102;0,823;965;0,771;1,066;0,132;Ei;;;;;;
Intia;Elokuu;129;1,040;965;0,771;1,349;0,061;Ei;;;;;;
Intia;Syyskuu;93;0,775;965;0,771;1,005;0,030;Ei;;;;;;
Intia;Lokakuu;111;0,895;965;0,771;1,160;0,100;Ei;;;;;;
Intia;Marraskuu;64;0,533;965;0,771;0,691;0,073;Ei;;;;;;
Intia;Joulukuu;50;0,538;965;0,771;0,697;0,319;Ei;;;;;;
Kolumbia;Tammikuu;9;0,097;940;0,751;0,129;0,065;Ei;;;;;;
Kolumbia;Helmikuu;42;0,494;940;0,751;0,658;0,000;Ei;;;;;;
Kolumbia;Maaliskuu;92;0,989;940;0,751;1,317;0,052;Ei;;;;;;
Kolumbia;Huhtikuu;52;0,578;940;0,751;0,769;0,047;Ei;;;;;;
Kolumbia;Toukokuu;84;0,903;940;0,751;1,202;0,058;Ei;;;;;;
Kolumbia;Kesäkuu;29;0,315;940;0,751;0,420;0,117;Ei;;;;;;
Kolumbia;Heinäkuu;271;2,185;940;0,751;2,909;0,474;Ei;;;;;;
Kolumbia;Elokuu;189;1,524;940;0,751;2,028;0,065;Ei;;;;;;
Kolumbia;Syyskuu;46;0,383;940;0,751;0,510;0,000;Ei;;;;;;
Kolumbia;Lokakuu;45;0,363;940;0,751;0,483;0,032;Ei;;;;;;
Kolumbia;Marraskuu;76;0,633;940;0,751;0,843;0,067;Ei;;;;;;
Kolumbia;Joulukuu;5;0,054;940;0,751;0,072;0,065;Ei;;;;;;
Kambodża;Tammikuu;88;0,946;765;0,612;1,547;0,068;Ei;;;;;;
Kambodża;Helmikuu;39;0,459;765;0,612;0,750;0,032;Ei;;;;;;
Kambodża;Maaliskuu;101;1,086;765;0,612;1,776;0,032;Ei;;;;;;
Kambodża;Huhtikuu;48;0,533;765;0,612;0,872;0,107;Ei;;;;;;
Kambodża;Toukokuu;78;0,839;765;0,612;1,372;0,210;Ei;;;;;;
Kambodża;Kesäkuu;90;0,978;765;0,612;1,600;0,787;Kyllä;;;;;;
Kambodża;Heinäkuu;30;0,242;765;0,612;0,396;1,000;Kyllä;;;;;;
Kambodża;Elokuu;74;0,597;765;0,612;0,976;0,181;Ei;;;;;;
Kambodża;Syyskuu;48;0,400;765;0,612;0,654;0,057;Ei;;;;;;
Kambodża;Lokakuu;48;0,387;765;0,612;0,633;0,116;Ei;;;;;;
Kambodża;Marraskuu;71;0,592;765;0,612;0,968;0,080;Ei;;;;;;
Kambodża;Joulukuu;50;0,538;765;0,612;0,879;0,032;Ei;;;;;;
Nicaragua;Tammikuu;3;0,032;692;0,553;0,058;1,000;Kyllä;;;;;;
Nicaragua;Helmikuu;5;0,059;692;0,553;0,106;0,053;Ei;;;;;;
Nicaragua;Maaliskuu;241;2,591;692;0,553;4,685;0,019;Ei;;;;;;
Nicaragua;Huhtikuu;266;2,956;692;0,553;5,343;0,047;Ei;;;;;;
Nicaragua;Toukokuu;117;1,258;692;0,553;2,274;0,039;Ei;;;;;;
Nicaragua;Kesäkuu;40;0,435;692;0,553;0,786;0,053;Ei;;;;;;
Nicaragua;Heinäkuu;4;0,032;692;0,553;0,058;0,474;Ei;;;;;;
Nicaragua;Elokuu;3;0,024;692;0,553;0,044;0,000;Ei;;;;;;
Nicaragua;Syyskuu;0;0,000;692;0,553;0,000;0,070;Ei;;;;;;
Nicaragua;Lokakuu;5;0,040;692;0,553;0,073;0,000;Ei;;;;;;
Nicaragua;Marraskuu;6;0,050;692;0,553;0,090;0,090;Ei;;;;;;
Nicaragua;Joulukuu;2;0,022;692;0,553;0,039;1,000;Kyllä;;;;;;
Egypti;Tammikuu;26;0,280;579;0,463;0,604;0,097;Ei;;;;;;
Egypti;Helmikuu;23;0,271;579;0,463;0,585;0,014;Ei;;;;;;
Egypti;Maaliskuu;35;0,376;579;0,463;0,813;0,000;Ei;;;;;;
Egypti;Huhtikuu;36;0,400;579;0,463;0,864;0,083;Ei;;;;;;
Egypti;Toukokuu;33;0,355;579;0,463;0,767;0,045;Ei;;;;;;
Egypti;Kesäkuu;29;0,315;579;0,463;0,681;0,827;Kyllä;;;;;;
Egypti;Heinäkuu;27;0,218;579;0,463;0,470;1,000;Kyllä;;;;;;
Egypti;Elokuu;109;0,879;579;0,463;1,899;0,997;Kyllä;;;;;;
Egypti;Syyskuu;92;0,767;579;0,463;1,656;0,093;Ei;;;;;;
Egypti;Lokakuu;75;0,605;579;0,463;1,307;0,094;Ei;;;;;;
Egypti;Marraskuu;56;0,467;579;0,463;1,008;0,047;Ei;;;;;;
Egypti;Joulukuu;38;0,409;579;0,463;0,883;0,013;Ei;;;;;;
Algeria;Tammikuu;10;0,108;569;0,455;0,236;0,048;Ei;;;;;;
Algeria;Helmikuu;15;0,176;569;0,455;0,388;0,011;Ei;;;;;;
