Päivämäärä;Maa;Viikonpäivä;Kuukausi;Vuosi;Käyttäjäasennuksia;;;;
30.9.2021;Romania;Torstai;Syyskuu;2021;15;;;;
15.2.2022;Kolumbia;Tiistai;Helmikuu;2022;17;;;;
20.3.2022;Korean tasavalta;Sunnuntai;Maaliskuu;2022;36;;;;
21.3.2022;Korean tasavalta;Maanantai;Maaliskuu;2022;13;;;;
22.3.2022;Korean tasavalta;Tiistai;Maaliskuu;2022;20;;;;
23.3.2022;Korean tasavalta;Keskiviikko;Maaliskuu;2022;33;;;;
24.3.2022;Korean tasavalta;Torstai;Maaliskuu;2022;22;;;;
29.3.2022;Nicaragua;Tiistai;Maaliskuu;2022;39;;;;
30.3.2022;Nicaragua;Keskiviikko;Maaliskuu;2022;14;;;;
31.3.2022;Nicaragua;Torstai;Maaliskuu;2022;18;;;;
4.4.2022;Korean tasavalta;Maanantai;Huhtikuu;2022;15;;;;
4.4.2022;Meksiko;Maanantai;Huhtikuu;2022;13;;;;
20.4.2022;Brasilia;Keskiviikko;Huhtikuu;2022;11;;;;
25.4.2022;Nicaragua;Maanantai;Huhtikuu;2022;12;;;;
1.5.2022;Brasilia;Sunnuntai;Toukokuu;2022;22;;;;
2.5.2022;Brasilia;Maanantai;Toukokuu;2022;37;;;;
2.5.2022;Ukraina;Maanantai;Toukokuu;2022;23;;;;
3.5.2022;Brasilia;Tiistai;Toukokuu;2022;18;;;;
10.5.2022;Brasilia;Tiistai;Toukokuu;2022;15;;;;
12.5.2022;Kolumbia;Torstai;Toukokuu;2022;11;;;;
19.5.2022;Kolumbia;Torstai;Toukokuu;2022;14;;;;
19.5.2022;Nicaragua;Torstai;Toukokuu;2022;12;;;;
25.5.2022;Brasilia;Keskiviikko;Toukokuu;2022;11;;;;
26.5.2022;Brasilia;Torstai;Toukokuu;2022;16;;;;
3.6.2022;Brasilia;Perjantai;Kesäkuu;2022;13;;;;
14.6.2022;Brasilia;Tiistai;Kesäkuu;2022;11;;;;3
15.6.2022;Brasilia;Keskiviikko;Kesäkuu;2022;11;;;;
4.7.2022;Brasilia;Maanantai;Heinäkuu;2022;26;;;;
5.7.2022;Brasilia;Tiistai;Heinäkuu;2022;31;;;;
6.7.2022;Brasilia;Keskiviikko;Heinäkuu;2022;25;;;;
10.7.2022;Kolumbia;Sunnuntai;Heinäkuu;2022;44;;;;
11.7.2022;Kolumbia;Maanantai;Heinäkuu;2022;36;;;;
30.10.2022;Thaimaa;Sunnuntai;Lokakuu;2022;37;;;;
1.11.2022;Thaimaa;Tiistai;Marraskuu;2022;27;;;;
9.11.2022;Meksiko;Keskiviikko;Marraskuu;2022;14;;;;
16.11.2022;Peru;Keskiviikko;Marraskuu;2022;11;;;;
