Maa;Maanantain käyttäjäasennukset;Tiistain käyttäjäasennukset;Keskiviikon käyttäjäasennukset;Torstain käyttäjäasennukset;Perjantain käyttäjäasennukset;Lauantain käyttäjäasennukset;Sunnuntain käyttäjäasennukset;Kaikki käyttäjäasennukset;Maanantain käyttäjäasennusten osuus;Tiistain käyttäjäasennusten osuus;Keskiviikon käyttäjäasennusten osuus;Torstain käyttäjäasennusten osuus;Perjantain käyttäjäasennusten osuus;Lauantain käyttäjäasennusten osuus;Sunnuntain käyttäjäasennusten osuus;Työviikko sunnuntaista torstaihin
Egypti;86;79;74;83;88;83;86;579;0,149;0,136;0,128;0,143;0,152;0,143;0,149;Kyllä
Algeria;64;84;90;72;103;79;77;569;0,112;0,148;0,158;0,127;0,181;0,139;0,135;Kyllä
Angola;77;61;89;78;65;61;71;502;0,153;0,122;0,177;0,155;0,129;0,122;0,141;Ei
Ukraina;81;64;103;92;48;34;56;478;0,169;0,134;0,215;0,192;0,100;0,071;0,117;Ei
Saksa;74;69;80;52;46;47;81;449;0,165;0,154;0,178;0,116;0,102;0,105;0,180;Ei
Argentiina;65;54;53;81;53;35;42;383;0,170;0,141;0,138;0,211;0,138;0,091;0,110;Ei
Irak;38;64;50;35;47;36;97;367;0,104;0,174;0,136;0,095;0,128;0,098;0,264;Kyllä
Italia;35;49;44;58;51;38;54;329;0,106;0,149;0,134;0,176;0,155;0,116;0,164;Ei
Mosambik;41;48;38;46;46;21;38;278;0,147;0,173;0,137;0,165;0,165;0,076;0,137;Ei
Jemen;40;42;39;26;38;37;42;264;0,152;0,159;0,148;0,098;0,144;0,140;0,159;Kyllä
Ranska;27;31;27;39;46;33;35;238;0,113;0,130;0,113;0,164;0,193;0,139;0,147;Ei
Guinea-Bissau;27;32;38;32;41;27;20;217;0,124;0,147;0,175;0,147;0,189;0,124;0,092;Ei
Kongon demokraattinen tasavalta;26;30;32;38;25;23;29;203;0,128;0,148;0,158;0,187;0,123;0,113;0,143;Ei
